date,aportes_kwh
2023-01-22,186458100.0
2023-01-23,166823900.0
2023-01-24,169846200.0
2023-01-25,146088500.0
2023-01-26,138365500.0
2023-01-27,128990900.0
2023-01-28,122232800.0
2023-01-29,112973800.0
2023-01-30,114639900.0
2023-01-31,113089200.0
2023-02-01,108748100.0
2023-02-02,115232100.0
2023-02-03,103327400.0
2023-02-04,111042300.0
2023-02-05,97571000.0
2023-02-06,96460400.0
2023-02-07,105904500.0
2023-02-08,98308100.0
2023-02-09,103018000.0
2023-02-10,102571100.0
2023-02-11,119279400.0
2023-02-12,110899400.0
2023-02-13,134699200.0
2023-02-14,117526000.0
2023-02-15,166247700.0
2023-02-16,137976900.0
2023-02-17,135420300.0
2023-02-18,145090400.0
2023-02-19,141246000.0
2023-02-20,150108700.0
2023-02-21,141867700.0
2023-02-22,154688400.0
2023-02-23,127940700.0
2023-02-24,117347000.0
2023-02-25,103051400.0
2023-02-26,98637900.0
2023-02-27,104251300.0
2023-02-28,128096400.0
2023-03-01,120285400.0
2023-03-02,117150000.0
2023-03-03,111983200.0
2023-03-04,164811800.0
2023-03-05,229219100.0
2023-03-06,225738900.0
2023-03-07,175753800.0
2023-03-08,217605400.0
2023-03-09,300303700.0
2023-03-10,229763800.0
2023-03-11,419039800.0
2023-03-12,393971000.0
2023-03-13,429097400.0
2023-03-14,356516000.0
2023-03-15,338754600.0
2023-03-16,343005800.0
2023-03-17,316159300.0
2023-03-18,293558100.0
2023-03-19,298618600.0
2023-03-20,253868100.0
2023-03-21,220786700.0
2023-03-22,210519500.0
2023-03-23,222426900.0
2023-03-24,234934900.0
2023-03-25,263948700.0
2023-03-26,250908800.0
2023-03-27,226733300.0
2023-03-28,234826900.0
2023-03-29,231877000.0
2023-03-30,210929400.0
2023-03-31,241545600.0
2023-04-01,218428700.0
2023-04-02,282850800.0
2023-04-03,228322600.0
2023-04-04,199025700.0
2023-04-05,277640500.0
2023-04-06,210957300.0
2023-04-07,236723800.0
2023-04-08,243666500.0
2023-04-09,214593500.0
2023-04-10,192860600.0
2023-04-11,196672000.0
2023-04-12,204180900.0
2023-04-13,185054000.0
2023-04-14,173535300.0
2023-04-15,167672900.0
2023-04-16,223889000.0
2023-04-17,306636700.0
2023-04-18,328164200.0
2023-04-19,236903200.0
2023-04-20,224119000.0
2023-04-21,247599100.0
2023-04-22,269963100.0
2023-04-23,254949300.0
2023-04-24,263754000.0
2023-04-25,251792900.0
2023-04-26,296921900.0
2023-04-27,250069200.0
2023-04-28,383676800.0
2023-04-29,316950700.0
2023-04-30,316421200.0
2023-05-01,230242400.0
2023-05-02,201541000.0
2023-05-03,168147200.0
2023-05-04,155503600.0
2023-05-05,143755800.0
2023-05-06,146650200.0
2023-05-07,139669000.0
2023-05-08,129155700.0
2023-05-09,137735800.0
2023-05-10,156657000.0
2023-05-11,149819600.0
2023-05-12,147461000.0
2023-05-13,145898200.0
2023-05-14,153485800.0
2023-05-15,164250100.0
2023-05-16,165729100.0
2023-05-17,224512100.0
2023-05-18,149003400.0
2023-05-19,160043900.0
2023-05-20,191268400.0
2023-05-21,187750800.0
2023-05-22,209835800.0
2023-05-23,328834000.0
2023-05-24,306732800.0
2023-05-25,358326100.0
2023-05-26,419272700.0
2023-05-27,313100700.0
2023-05-28,394446300.0
